Pos,Pos Side,Pos Category
C,Offense,Offensive Line
CB,Defense,Secondary
DE,Defense,Defensive Line
DT,Defense,Defensive Line
FB,Offense,Rushing
FS,Defense,Secondary
G,Offense,Offensive Line
ILB,Defense,Linebacker
K,Special Teams,Special Teams
LB,Defense,Linebacker
LS,Special Teams,Special Teams
LT,Offense,Offensive Line
OLB,Defense,Linebacker
P,Special Teams,Special Teams
QB,Offense,Passing
RB,Offense,Rushing
RT,Offense,Offensive Line
S,Defense,Secondary
SS,Defense,Secondary
T,Offense,Offensive Line
TE,Offense,Passing
WR,Offense,Passing
